iter	RMSE
0	9493.426037
1	8837.30978
2	8336.284867
3	7827.691118
4	7469.529445
5	7057.072623
6	6700.851054
7	6398.014182
8	6157.836855
9	5904.780033
10	5695.684701
11	5501.968437
12	5346.77
13	5240.171957
14	5101.505331
15	5002.847448
16	4929.041324
17	4884.983635
18	4833.016524
19	4768.917016
20	4723.514004
21	4670.800543
22	4641.348203
23	4620.233916
24	4591.63345
25	4558.10157
26	4527.599424
27	4491.255779
28	4453.672563
29	4439.915419
30	4420.224452
31	4411.719646
32	4404.467145
33	4395.682438
34	4378.01383
35	4367.415048
36	4356.301027
37	4338.523416
38	4334.489518
39	4322.052295
40	4321.526686
41	4321.099728
42	4308.915305
43	4292.843325
44	4291.43207
45	4270.579703
46	4259.873447
47	4238.303527
48	4238.165728
49	4216.905922
50	4215.917704
51	4212.340879
52	4198.435531
53	4193.317283
54	4188.124083
55	4170.724603
56	4170.238715
57	4163.721154
58	4148.652959
59	4147.933086
60	4142.388673
61	4134.906259
62	4134.893
63	4130.819945
64	4130.810958
65	4127.770956
66	4125.671226
67	4119.864471
68	4118.748308
69	4115.689709
70	4086.300233
71	4085.221961
72	4085.220285
73	4077.488358
74	4076.322208
75	4069.800409
76	4069.142192
77	4068.494743
78	4066.334917
79	4052.007533
80	4046.816184
81	4042.753937
82	4034.047283
83	4032.151781
84	4009.85614
85	3988.902046
86	3988.092144
87	3952.197221
88	3950.8218
89	3946.724732
90	3943.871659
91	3943.482144
92	3941.269603
93	3937.041909
94	3930.787239
95	3925.788385
96	3924.436998
97	3889.693714
98	3888.271747
99	3886.487541
