iter	Passed	Remaining
0	2	2005
1	3	1828
2	5	1751
3	6	1532
4	9	1881
5	11	1840
6	12	1803
7	14	1766
8	15	1698
9	16	1612
10	17	1609
11	19	1610
12	20	1573
13	22	1570
14	25	1654
15	26	1650
16	28	1644
17	29	1602
18	30	1596
19	32	1596
20	34	1595
21	35	1592
22	37	1605
23	40	1651
24	42	1653
25	44	1658
26	45	1657
27	47	1654
28	49	1659
29	51	1661
30	54	1690
31	56	1695
32	56	1669
33	58	1665
34	60	1661
35	61	1658
36	63	1654
37	65	1650
38	66	1647
39	69	1666
40	71	1671
41	72	1651
42	74	1647
43	75	1645
44	77	1641
45	79	1638
46	80	1634
47	82	1630
48	84	1631
49	86	1636
50	87	1633
51	89	1630
52	91	1627
53	92	1624
54	94	1621
55	96	1618
56	97	1607
57	99	1614
58	101	1615
59	102	1612
60	104	1610
61	106	1608
62	108	1606
63	109	1603
64	111	1600
65	112	1598
66	115	1611
67	117	1610
68	118	1598
69	120	1596
70	120	1581
71	122	1578
72	124	1576
73	125	1569
74	127	1567
75	128	1556
76	130	1563
77	132	1565
78	134	1564
79	136	1566
80	137	1564
81	139	1562
82	141	1560
83	142	1557
84	144	1555
85	147	1565
86	148	1563
87	150	1561
88	152	1558
89	153	1557
90	155	1554
91	157	1552
92	158	1549
93	161	1555
94	163	1556
95	165	1553
96	166	1551
97	168	1549
98	169	1541
99	170	1538
100	172	1536
101	174	1534
102	177	1541
103	178	1536
104	179	1534
105	181	1531
106	183	1533
107	185	1534
108	187	1532
109	189	1530
110	190	1529
111	193	1532
112	195	1530
113	199	1547
114	201	1550
115	203	1550
116	205	1550
117	209	1565
118	211	1563
119	213	1562
120	214	1560
121	216	1558
122	218	1555
123	219	1553
124	222	1556
125	225	1561
126	226	1559
127	228	1558
128	229	1550
129	231	1548
130	232	1545
131	234	1542
132	236	1541
133	239	1548
134	240	1539
135	241	1537
136	243	1535
137	245	1532
138	246	1529
139	248	1527
140	250	1525
141	253	1534
142	255	1532
143	257	1532
144	259	1530
145	261	1527
146	262	1525
147	264	1522
148	266	1521
149	269	1527
150	271	1525
151	273	1524
152	274	1522
153	276	1519
154	278	1517
155	280	1515
156	281	1513
157	286	1525
158	287	1519
159	289	1517
160	290	1515
161	292	1513
162	294	1510
163	295	1508
164	297	1506
165	300	1509
166	302	1507
167	303	1505
168	305	1503
169	307	1500
170	308	1497
171	310	1495
172	312	1493
173	315	1497
174	317	1494
175	318	1493
176	320	1491
177	322	1489
178	324	1486
179	325	1483
180	327	1481
181	330	1484
182	331	1482
183	333	1479
184	335	1476
185	336	1474
186	338	1471
187	340	1469
188	341	1466
189	343	1465
190	347	1469
191	348	1467
192	350	1465
193	352	1462
194	353	1460
195	355	1457
196	356	1452
197	358	1450
198	360	1452
199	362	1449
200	364	1447
201	365	1445
202	367	1443
203	369	1442
204	371	1442
205	373	1440
206	376	1442
207	378	1439
208	379	1437
209	381	1435
210	383	1434
211	387	1440
212	389	1439
213	395	1453
214	397	1451
215	399	1450
216	401	1447
217	403	1445
218	406	1448
219	408	1449
220	410	1446
221	412	1444
222	413	1441
223	414	1436
224	416	1433
225	417	1431
226	419	1428
227	422	1430
228	424	1428
229	426	1427
230	428	1425
231	429	1423
232	431	1420
233	433	1418
234	434	1415
235	437	1417
236	439	1414
237	441	1412
238	442	1409
239	444	1407
240	446	1404
241	447	1402
242	449	1400
243	451	1398
244	453	1397
245	455	1394
246	456	1392
247	458	1389
248	459	1387
249	461	1384
250	463	1382
251	464	1379
252	467	1380
253	469	1377
254	470	1374
255	471	1371
256	473	1369
257	475	1367
258	477	1364
259	478	1362
260	480	1360
261	483	1361
262	485	1359
263	486	1357
264	488	1354
265	490	1352
266	491	1349
267	493	1347
268	495	1345
269	496	1343
270	499	1344
271	501	1342
272	503	1340
273	505	1338
274	506	1335
275	508	1333
276	509	1331
277	511	1328
278	514	1329
279	516	1327
280	518	1325
281	519	1323
282	521	1320
283	522	1318
284	524	1316
285	526	1313
286	528	1314
287	530	1312
288	532	1310
289	534	1308
290	536	1306
291	538	1304
292	539	1302
293	541	1299
294	544	1300
295	546	1298
296	547	1296
297	549	1294
298	551	1292
299	553	1290
300	555	1289
301	557	1288
302	560	1288
303	562	1286
304	563	1285
305	565	1282
306	567	1281
307	571	1283
308	574	1284
309	577	1284
310	581	1289
311	583	1287
312	585	1285
313	587	1283
314	592	1287
315	594	1286
316	596	1284
317	598	1282
318	599	1280
319	601	1278
320	602	1275
321	606	1276
322	607	1274
323	609	1271
324	611	1269
325	613	1267
326	614	1265
327	616	1262
328	618	1260
329	620	1260
330	622	1258
331	624	1256
332	626	1253
333	627	1251
334	629	1249
335	630	1246
336	632	1244
337	634	1242
338	637	1242
339	638	1240
340	641	1240
341	643	1238
342	645	1236
343	646	1233
344	648	1231
345	651	1231
346	653	1229
347	654	1226
348	656	1224
349	658	1222
350	659	1219
351	661	1217
352	663	1215
353	664	1213
354	667	1212
355	669	1210
356	670	1208
357	672	1205
358	673	1203
359	675	1201
360	677	1198
361	678	1196
362	681	1195
363	683	1194
364	685	1192
365	686	1189
366	688	1187
367	690	1185
368	691	1183
369	693	1180
370	695	1178
371	697	1177
372	699	1175
373	701	1173
374	703	1171
375	704	1169
376	706	1167
377	707	1164
378	709	1162
379	711	1160
380	713	1159
381	715	1157
382	716	1155
383	718	1152
384	720	1150
385	721	1148
386	723	1146
387	725	1143
388	728	1143
389	729	1141
390	731	1139
391	733	1137
392	734	1134
393	736	1132
394	738	1130
395	739	1128
